Pop name	Gnetic population name	Language name	Region	Ruhlen Language family	Ruhlen number
Hadza	Hadza	Hadza	AFRICA	Khoisan	1
Sandawe	Sandawe	Sandawe	AFRICA	Khoisan	2
San	San	Qxu^	AFRICA	Khoisan	4
!XunKxoe	!XunKxoe	Kxoe	AFRICA	Khoisan	26
Mandenka	Mandenka	Mandinka	AFRICA	Niger-Kordofanian	86
Dioula	Dioula	Dyula	AFRICA	Niger-Kordofanian	93
FulaniAdamawa	FulaniAdamawa	Fula	AFRICA	Niger-Kordofanian	112
Mbum	Mbum	Mbum	AFRICA	Niger-Kordofanian	297
Gbaya	Gbaya	Gbaya	AFRICA	Niger-Kordofanian	326
Yakoma	Yakoma	Yakoma	AFRICA	Niger-Kordofanian	333
Ashanti	Ashanti	Akan	AFRICA	Niger-Kordofanian	386
Brong	Brong	Abron	AFRICA	Niger-Kordofanian	387
Bassange	Bassange	Nupe	AFRICA	Niger-Kordofanian	437
Gwari	Gwari	Gwari	AFRICA	Niger-Kordofanian	438
Yoruba	Yoruba	Yoruba	AFRICA	Niger-Kordofanian	447
Igala	Igala	Igala	AFRICA	Niger-Kordofanian	449
Bamoun	Bamoun	Bamun	AFRICA	Niger-Kordofanian	692
SouthTikar	SouthTikar	Tikar	AFRICA	Niger-Kordofanian	770
NorthTikar	NorthTikar	Tikar	AFRICA	Niger-Kordofanian	770
Bedzan	Bedzan	Tikar	AFRICA	Niger-Kordofanian	770
Iyassa	Iyassa	Yasa	AFRICA	Niger-Kordofanian	786
Banen	Banen	Tunen	AFRICA	Niger-Kordofanian	791
Bafia	Bafia	Kpa	AFRICA	Niger-Kordofanian	796
Ewondo	Ewondo	Ewondo	AFRICA	Niger-Kordofanian	801
Bulu	Bulu	Bulu	AFRICA	Niger-Kordofanian	803
Ntumu	Ntumu	Fang	AFRICA	Niger-Kordofanian	804
Mvae	Mvae	Fang	AFRICA	Niger-Kordofanian	804
Fang	Fang	Fang	AFRICA	Niger-Kordofanian	804
Ngumba	Ngumba	Ngumba	AFRICA	Niger-Kordofanian	805
Mabea	Mabea	Ngumba	AFRICA	Niger-Kordofanian	805
Kikuyu	Kikuyu	Kikuyu	AFRICA	Niger-Kordofanian	933
Sukuma	Sukuma	Sukuma	AFRICA	Niger-Kordofanian	951
Turu	Turu	Rimi	AFRICA	Niger-Kordofanian	957
Kongo	Kongo	Kongo	AFRICA	Niger-Kordofanian	999
Luhya	Luhya	Luyia	AFRICA	Niger-Kordofanian	1025
TutsiHutu	TutsiHutu	Rwanda	AFRICA	Niger-Kordofanian	1040
Baluba	Baluba	Luba-Kasai	AFRICA	Niger-Kordofanian	1078
Venda	Venda	Venda	AFRICA	Niger-Kordofanian	1155
Xhosa	Xhosa	Xhosa	AFRICA	Niger-Kordofanian	1160
Kanuri	Kanuri	Kanuri	AFRICA	Nilo-Saharan	1175
Nyimang	Nyimang	Nyimang	AFRICA	Nilo-Saharan	1209
Shilook	Shilook	Shilluk	AFRICA	Nilo-Saharan	1224
Luo	Luo	Luo	AFRICA	Nilo-Saharan	1235
Nuer	Nuer	Nuer	AFRICA	Nilo-Saharan	1239
MaasaiMumonyot	MaasaiMumonyot	Maasai	AFRICA	Nilo-Saharan	1250
Maasai-Tanzania	Maasai-Tanzania	Maasai	AFRICA	Nilo-Saharan	1250
MaasaiIlchamus	MaasaiIlchamus	Maasai	AFRICA	Nilo-Saharan	1250
