1	combining [affricates backvow centralvow clicks fricatives frontvow glides laterals modcon modvow nasals stops vibrants]
2	tˡ̥	1	2356	
3	tːˡ	3	1611	1612
4	bͮ	14	192	475
5	ᶡčʰ	1	4	
6	kˡ	1	1162	
7	dᵞ	1	2	
8	čʰʷ	1	4660	
9	ɡ́	1	1594	
10	tᶿ	5	1224	1234
11	ɡ̰̌	1	5666	
12	tˣˀ	1	2	
13	ɡ̌	635	0	1
14	cʹˀ	1	1594	
15	ⁿ̃čʰ	1	2357	
16	ɟ́	2	1877	1886
17	kˡˀ	1	1160	
18	ɡ̌ː	1	1331	
19	tᴮ	1	5354	
20	tˢʱ	1	5	
21	č̣	26	1639	1681
22	pˢ̌ˀ	2	1156	1157
23	ṭˢˀ	5	1600	4658
24	č̣ˀ	7	4657	4883
25	čʷ	1	391	
26	tˢˀʷ	1	1624	
27	ḍʳ	2	339	1299
28	bɡ̌	1	1394	
29	ⁿ̃ɡ̣̌	1	5241	
30	ɡ̤̌	36	476	1658
31	ᶡčˀ	1	4	
32	čʰ	170	1	2
33	ͫpˀ	1	2357	
34	ṭʳ	3	339	1299
35	qːᵡ	4	1609	1611
36	dʳ	4	1030	1300
37	qᵡʰ	2	1629	1630
38	qᵡˀ	16	1606	1607
39	č	1033	0	1
40	ᵈtˢʰ	2	4	37
41	tˡ̥ʰ	1	2356	
42	pˡʰ	5	2351	2355
43	qᵡ	17	1606	1607
44	dˡ	19	1	1161
45	ʰtˢ	2	4692	5073
46	dᶻˀ	1	3	
47	ⁿtˡˀ	1	1160	
48	qᵡʷ	1	1620	
49	qᵡˀʷ	1	1620	
50	pᶲ	2	3718	3727
51	bᶻ̌	2	1156	1157
52	tˢʰ	117	2	4
53	ṭˢ	27	1166	1600
54	tˡˀ	80	0	1
55	dᶻᵞ	1	2	
56	ɡ̣̌	4	1639	1681
57	dᵝ	1	1161	
58	ⁿtˢʰ	1	2357	
59	ͫbͮ	2	1006	1160
60	tːˡˀ	2	1609	1611
61	ḍᶻ	8	1166	1600
62	ˀbˡ	2	2358	2535
63	ptˢ	1	1394	
64	tˣ	3	2	25
65	č̣ʰ	4	1639	1681
66	cʹ	5	1594	1813
67	pᶠʰ	1	1154	
68	ⁿd̪ᶻ	2	3713	3714
69	bᵝ	1	109	
70	dᶻ	244	0	5
71	ⁿdˡ	1	1160	
72	čʲ	1	5100	
73	ⁿ̃ɡ̌	46	0	790
74	pˢ̌ʰ	2	1156	1157
75	tʳ	10	730	1030
76	kːˣ	4	1611	1612
77	ɡ̌ʷ	1	391	
78	čˀ	192	0	3
79	kːˣˀ	2	1611	1616
80	ɠ̌	2	1274	1275
81	ˀɡ̌	2	1293	1294
82	tˡ	68	0	1
83	qːᵡˀ	3	1609	1611
84	ᵈčˀ	1	4	
85	ɡᵞ	1	2	
86	tˢˀ	202	0	1
87	ⁿdᶻ	13	0	1006
88	ᵈtˢˀ	2	4	37
89	čˣ	4	2	4
90	tˢ	606	0	2
91	ṭˢʰ	18	1166	1666
92	t̪ˀ	1	37	
93	čː	1	1331	
94	ʰč	2	4693	5073
95	tᶿʰ	3	2064	4668
96	tˡʰ	16	40	1166
97	ᵈt̪ˀ	1	37	
98	ͫpᶠˀ	1	1160	
99	tᶿˀ	5	4668	4669
100	ᵈtˢˣ	1	37	
101	dᶻʱ	1	5	
102	pˀ	1	2357	
103	pˡ	6	2351	2355
104	bdᶻ	1	1394	
105	kˣˀ	19	2	3
106	dᶻˣ	1	28	
107	d̤ᶻ	8	1685	1687
108	dᶞ	2	1224	1234
109	ͫbˡ	1	2357	
110	d̯ᶞ	1	4610	
111	tˢˣ	18	2	4
112	pᶠ	20	192	475
113	pᶠˀ	2	1159	4937
114	ⁿtˢ	1	0	
115	kˣ	10	10	25
116	pˢ	2	1156	1167
117	tᶲʰ	1	1161	
118	pč	1	1394	
119	ɔ̤	3	2491	2493
120	ɯ	118	133	134
121	ʌ	16	133	134
122	o	1631	0	1
123	ɤ	45	63	133
124	u	1924	0	1
125	o̤	2	2493	2494
126	ɒ	40	61	68
127	u̱	2	129	132
128	ṳ	4	2455	2491
129	ɔ	688	47	51
130	ɯ̌	1	5136	
131	ɑ	120	161	397
132	o˂	1	1225	
133	ʊ̤	2	2486	2496
134	o̰	1	1988	
135	ʊ	292	53	55
136	ɨ̤	2	2455	2496
137	ɐ	86	55	56
138	ʉ	34	707	737
139	a̤	4	2486	2491
140	ə	640	53	54
141	ɨ̅	1	2526	
142	ɨ	308	99	206
143	aː	1	2581	
144	ɵ	23	1216	1927
145	ə̤	1	2496	
146	a	2029	0	1
147	a̰	1	1988	
148	ɡ/n	13	5	16
149	ˀnʘ	1	37	
150	qʘʰ	1	37	
151	G!ʰ	1	37	
152	Gʘʰ	1	37	
153	nǁ	31	0	1
154	nǂˀʰ	1	2	
155	ǁˣ	25	2	3
156	ɡ/ˣ	5	2	4
157	/kˣˀ	2	9	37
158	ǁkˣˀ	2	9	37
159	Gʘ	1	37	
160	nǁˣ	3	16	23
161	ɡ/kˣˀ	3	2	4
162	qǂˀ	1	37	
163	n!ˀʰ	1	2	
164	q!ʰ	1	37	
165	!	32	0	1
166	ǁˣˀ	15	2	3
167	/ʰ	31	0	1
168	nʘ	5	36	37
169	ǂʰ	20	2	3
170	!ʱ	2	5	39
171	ᵑ!	1	1159	
172	/ˀ	30	0	1
173	n/ˣ	3	16	23
174	qǁˀ	1	37	
175	n!	26	0	1
176	+	1	9	
177	n!n	2	26	27
178	ǂ	22	2	3
179	/	37	0	1
180	nǂʱ	3	5	39
181	ǂkˣˀ	2	9	37
182	ᵑ/	2	1159	1161
183	n+	1	9	
184	n̥ʘ	1	37	
185	ᵑ!ᶢ	2	1159	1160
186	q/ˀ	1	37	
187	n/ˀʰ	1	2	
188	!ˣ	21	2	3
189	!ˣˀ	14	2	3
190	n/	33	0	1
191	nǂˣ	1	28	
192	n/ʱ	3	5	39
193	n̥ǂ	1	37	
194	Gǂ	1	37	
195	ˀn!	1	37	
196	ɡǁkˣˀ	3	2	4
197	+kˣˀ	1	9	
198	ʘkˣˀ	1	37	
199	n!ʰ	1	1162	
200	!kˣˀ	2	9	37
201	ɡǁˣ	7	2	4
202	ǂʱ	2	5	39
203	ˀnǂ	1	37	
204	ˀn/	1	37	
205	qǂʰ	1	37	
206	n/n	2	26	27
207	qʘ	1	37	
208	ɡ!kˣˀ	3	2	4
209	nǁˀʰ	1	2	
210	G/ʰ	1	37	
211	qǂ	8	23	25
212	ʘˣ	3	36	37
213	ʘʱ	1	39	
214	G!	1	37	
215	ɡǂn	7	5	25
216	ɡǂˀʰ	1	2	
217	ǁˀ	29	0	1
218	qǁ	8	23	25
219	+ˀ	1	9	
220	ɡʘˣ	1	37	
221	G/	1	37	
222	ǁ	36	0	1
223	!ˀʰ	1	2	
224	n̥!ʰ	2	2	4
225	q/ʰ	1	37	
226	ǂˀʰ	1	2	
227	ɡǂ	17	2	3
228	nǁʱ	3	5	39
229	ˀnǁ	1	37	
230	nǂn	2	26	27
231	ǁʰ	29	0	1
232	/ʱ	2	5	39
233	Gǁ	1	37	
234	/ˀʰ	1	2	
235	/ˣ	25	2	3
236	nǁʰ	1	1162	
237	ǂˣ	18	2	3
238	nʘʱ	2	39	40
239	ʘ	6	36	37
240	q!	7	25	26
241	ɡǁ	26	1	2
242	ɡ!ˀʰ	1	2	
243	n̥ǂʰ	2	2	4
244	n/ʰ	2	1161	1162
245	nǁn	2	26	27
246	ɡ!ˣ	3	2	4
247	!ˀ	26	0	1
248	ɡʘkˣˀ	1	37	
249	ᵑ/ᶢ	3	1159	1160
250	ɡʘ	4	36	37
251	q/	10	17	21
252	n̥ǁ	2	0	37
253	n̥!	2	0	37
254	!ʰ	27	0	1
255	ɡ!	21	1	2
256	q!ˀ	1	37	
257	ɡ/ˀʰ	1	2	
258	ǂˣˀ	13	2	3
259	ɡǂˣ	2	4	37
260	ʘˣˀ	1	39	
261	n!ʱ	3	5	39
262	ɡǁn	13	5	16
263	ɡ!n	8	5	21
264	+ˣ	1	9	
265	n!ˣ	1	28	
266	n̥ǁʰ	2	2	4
267	ᵑǁ	1	1159	
268	n̥/	2	0	37
269	qʘˀ	1	37	
270	ɡ/	28	1	2
271	Gǁʰ	1	37	
272	nǂ	19	2	3
273	ǁˀʰ	1	2	
274	ɡǂkˣˀ	3	2	4
275	n̥/ʰ	2	2	4
276	ǂˀ	20	2	3
277	qǁʰ	1	37	
278	ɡǁˀʰ	1	2	
279	ᵑǁᶢ	2	1159	1160
280	/ˣˀ	15	2	3
281	ǁʱ	2	5	39
282	Gǂʰ	1	37	
283	ʘʰ	4	36	37
284	ʘˀ	4	36	37
